well,synthetic_depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
5,7000.0,30.3487,-95.0158,198.5,0.0371,1.96,30.933002598999998,315.8481784628927,610.9571366398501,3.0015094760220706,
6,4000.0,30.2563,-95.1022,198.0,0.0365,1.96,33.46871639899999,519.3942375546375,1064.790417820965,0.7990991179475454,
6,5000.0,30.2563,-95.1022,198.0,0.0365,1.96,32.21627639899998,417.63522204436254,852.4334581029005,1.3088429965907251,
6,6000.0,30.2563,-95.1022,198.0,0.0365,1.96,29.74926829899999,343.55230472303225,696.3914812213177,2.0379394259625188,
6,7000.0,30.2563,-95.1022,198.0,0.0365,1.96,31.335106398999994,317.15600597745737,622.9094775726883,2.8970148067517636,
7,5000.0,30.2185,-95.0753,197.4,0.033600000000000005,1.96,33.395554498999985,493.4794604779084,1022.1324430132444,1.0764767153416748,
7,6000.0,30.2185,-95.0753,197.4,0.033600000000000005,1.96,31.722392598999996,415.53532306888366,858.3102434243475,1.623996382253836,
7,7000.0,30.2185,-95.0753,197.4,0.033600000000000005,1.96,31.64460019899999,357.0993762249336,729.4809673186976,2.3786684294071487,
7,8000.0,30.2185,-95.0753,197.4,0.033600000000000005,1.96,32.32833449899998,347.32908609985844,682.3289675500192,3.1916579146780757,
8,4000.0,30.3465,-94.9752,196.9,0.038,1.96,33.098276398999985,481.5384607980562,980.61599674626,0.8732623193603619,
8,5000.0,30.3465,-94.9752,196.9,0.038,1.96,31.486060699,385.90923116628284,781.7496812919061,1.4376565760639552,
8,6000.0,30.3465,-94.9752,196.9,0.038,1.96,30.618878298999995,319.2152370151093,638.2257299723701,2.254047702770516,
8,7000.0,30.3465,-94.9752,196.9,0.038,1.96,31.66339259899999,311.70484743087025,591.1955272531935,3.1692374679192823,
9,4000.0,30.1906,-95.3201,196.9,0.037899999999999996,1.96,33.08606069899998,480.0593462227078,977.3275450557923,0.8764397313271073,
9,5000.0,30.1906,-95.3201,196.9,0.037899999999999996,1.96,31.466612598999998,385.38014305952413,780.5779856210847,1.4399942633962417,
9,6000.0,30.1906,-95.3201,196.9,0.037899999999999996,1.96,30.618878298999995,319.17864512868687,638.1361765404205,2.2544219778330996,
9,7000.0,30.1906,-95.3201,196.9,0.037899999999999996,1.96,31.64394449899999,311.8165513740949,591.5249709471088,3.16677036672441,
10,4000.0,30.8416,-94.7266,193.5,0.0414,1.98,32.53300259899998,407.6325385236098,816.5955578495096,1.0656846364768167,
10,5000.0,30.8416,-94.7266,193.5,0.0414,1.98,28.647782598999996,321.24910241553556,638.6467044973916,1.7929644788193873,
10,6000.0,30.8416,-94.7266,193.5,0.0414,1.98,30.599430198999993,282.4744480510024,541.3301231371192,2.777860166947405,
10,7000.0,30.8416,-94.7266,193.5,0.0414,1.98,37.261982099,281.27648733719406,516.6397866309094,3.7634258913143572,
11,4000.0,30.7657,-95.2341,193.5,0.0361,1.98,33.948612598999986,529.9167323980532,1087.665267008975,0.7814016165668805,
11,5000.0,30.7657,-95.2341,193.5,0.0361,1.98,32.74988639899998,425.749676618198,870.1806148416356,1.2804748212850836,
11,6000.0,30.7657,-95.2341,193.5,0.0361,1.98,28.976724498999992,350.60334365440434,712.8510215003256,1.9850089118193086,
11,7000.0,30.7657,-95.2341,193.5,0.0361,1.98,31.702944498999994,318.8896390322037,630.5646963630493,2.8419737595071144,
12,3000.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,38.774658298999995,391.6162669648782,756.5685481063639,0.8748919419657294,
12,4000.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,35.97545069899999,285.8591365031037,545.1653613238368,1.6807371550146297,
12,5000.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,34.94249639899999,231.18421681571522,426.29644904699586,2.916693739225142,
12,6000.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,41.88353399900001,233.5653378739037,403.2668793348172,4.237232394118366,
13,4000.0,30.6776,-95.4402,188.5,0.0352,1.98,34.14604829899999,554.9997262515732,1143.602541729624,0.7404409138424091,
13,5000.0,30.6776,-95.4402,188.5,0.0352,1.98,33.11772449899998,446.6544585706368,916.862992456366,1.2102771115028674,
13,6000.0,30.6776,-95.4402,188.5,0.0352,1.98,30.10987399899998,372.2333154323568,761.1268425726635,1.8490018954483047,
13,7000.0,30.6776,-95.4402,188.5,0.0352,1.98,31.795554498999994,329.05590923551716,658.9778333404687,2.684793794259532,
14,4000.0,30.8438,-94.3533,188.0,0.0375,1.97,33.46871639899999,498.25446326759146,1017.479716120851,0.8393767525516588,
14,5000.0,30.8438,-94.3533,188.0,0.0375,1.97,32.01178259899999,398.788934666423,810.2404744851597,1.383109725256893,
14,6000.0,30.8438,-94.3533,188.0,0.0375,1.97,30.813886398999987,327.70497471016813,659.0366586581122,2.1702267052823614,
14,7000.0,30.8438,-94.3533,188.0,0.0375,1.97,31.300840699,313.06922421773834,601.6638272919167,3.0692616043116576,
15,4000.0,30.9274,-93.7976,188.0,0.038700000000000005,1.97,33.190886398999986,470.9191375874823,956.7759492636457,0.8970247943611673,
15,5000.0,30.9274,-93.7976,188.0,0.038700000000000005,1.97,31.374002598999997,375.5592465688579,758.5893948639771,1.4857384692255307,
15,6000.0,30.9274,-93.7976,188.0,0.038700000000000005,1.97,30.728334498999995,311.3695516711489,619.0300468841995,2.337202468298901,
15,7000.0,30.9274,-93.7976,188.0,0.038700000000000005,1.97,32.39426399899999,308.70052173210496,578.9181638524617,3.2779959423693352,
16,5000.0,30.1856,-94.9525,186.9,0.031100000000000003,1.95,34.11178259899999,579.9534681896029,1216.8404877446585,0.8935377998326816,
16,6000.0,30.1856,-94.9525,186.9,0.031100000000000003,1.95,33.190886398999986,491.58199929009766,1029.945895956122,1.3356483844162335,
16,7000.0,30.1856,-94.9525,186.9,0.031100000000000003,1.95,29.938944498999998,423.22236232005713,885.1015534663372,1.917757611527922,
16,8000.0,30.1856,-94.9525,186.9,0.031100000000000003,1.95,32.41917259899998,380.54686151630335,784.2611647127105,2.648419970709966,
17,4000.0,30.346,-95.1115,185.8,0.0378,1.96,33.15199019899999,485.4225454536189,989.2232967315057,0.8650753407519034,
17,5000.0,30.346,-95.1115,185.8,0.0378,1.96,31.59088639899999,389.35469326202355,789.4045716703006,1.4225291817597612,
17,6000.0,30.346,-95.1115,185.8,0.0378,1.96,30.635724498999995,321.7013712960587,644.3145370444352,2.2288763917677215,
17,7000.0,30.346,-95.1115,185.8,0.0378,1.96,31.492990198999983,312.37931751340426,594.7497204279475,3.1369163527213186,
18,4000.0,30.8821,-93.896,184.7,0.0354,1.96,33.856002598999986,564.0018661912576,1164.2488666311685,0.726077108695876,
18,5000.0,30.8821,-93.896,184.7,0.0354,1.96,32.823048298999986,452.037693463681,929.2920187469259,1.1924095729409563,
18,6000.0,30.8821,-93.896,184.7,0.0354,1.96,29.76148399899998,375.70619475506544,769.2453694381479,1.82717481528762,
18,7000.0,30.8821,-93.896,184.7,0.0354,1.96,31.486060699,331.3993210509079,664.4041115111612,2.659938715004349,
19,3000.0,31.9197,-94.549,184.0,0.0437,2.02,34.14604829899999,497.0648183922026,993.6955191284554,0.6429199997087282,
19,4000.0,31.9197,-94.549,184.0,0.0437,2.02,32.459840698999976,364.0242556706574,719.9451817465801,1.22450121544642,
19,5000.0,31.9197,-94.549,184.0,0.0437,2.02,30.855384498999992,283.418154985136,552.7078850406848,2.113272667612793,
19,6000.0,31.9197,-94.549,184.0,0.0437,2.02,31.68266639899999,275.0420174517562,500.47872164576296,3.1896530397782508,
20,3000.0,32.35667,-94.64604,183.51,0.041159999999999995,2.38,40.66933449899999,497.49284340819236,984.4643645619315,0.6556724492147352,
20,4000.0,32.35667,-94.64604,183.51,0.041159999999999995,2.38,39.142496398999995,363.62414622326156,712.742337660547,1.2483612062394442,
20,5000.0,32.35667,-94.64604,183.51,0.041159999999999995,2.38,34.31627639899999,286.165566982231,556.8174508574192,2.1026368560495676,
20,6000.0,32.35667,-94.64604,183.51,0.041159999999999995,2.38,36.674658298999994,251.07257840395712,470.8055580067719,3.2724485423616057,
21,4000.0,30.6814,-94.6912,183.0,0.034,1.97,34.31627639899999,603.5830691525642,1252.4750662256088,0.6716458340504434,
21,5000.0,30.6814,-94.6912,183.0,0.034,1.97,33.507612598999984,485.04046735104333,1002.9604814588062,1.0987847750498598,
21,6000.0,30.6814,-94.6912,183.0,0.034,1.97,31.59088639899999,407.1212437948869,839.2989273648747,1.6638176753371308,
21,7000.0,30.6814,-94.6912,183.0,0.034,1.97,31.776106398999993,350.6281775745678,713.6876673640652,2.4397443376034897,
22,4000.0,30.6938,-94.6943,181.9,0.034,1.97,34.31627639899999,603.5830691525642,1252.4750662256088,0.6716458340504434,
22,5000.0,30.6938,-94.6943,181.9,0.034,1.97,33.507612598999984,485.04046735104333,1002.9604814588062,1.0987847750498598,
22,6000.0,30.6938,-94.6943,181.9,0.034,1.97,31.59088639899999,407.1212437948869,839.2989273648747,1.6638176753371308,
22,7000.0,30.6938,-94.6943,181.9,0.034,1.97,31.776106398999993,350.6281775745678,713.6876673640652,2.4397443376034897,
23,4000.0,30.0975,-95.3607,181.9,0.0347,1.96,33.89026829899999,568.9281189095698,1175.257749523484,0.7187931853858198,
23,5000.0,30.0975,-95.3607,181.9,0.0347,1.96,32.935106398999984,459.1549516786517,945.2144163666477,1.1708086510783517,
23,6000.0,30.0975,-95.3607,181.9,0.0347,1.96,29.65665829899999,383.9638914566976,788.0699740966728,1.7793963013682976,
23,7000.0,30.0975,-95.3607,181.9,0.0347,1.96,31.537172598999994,337.13433076720906,679.4214814768668,2.587804808304031,
24,4000.0,30.322,-95.2172,181.9,0.0359,1.97,33.79765829899999,533.8817847710948,1096.7692250239043,0.7742677761419593,
24,5000.0,30.322,-95.2172,181.9,0.0359,1.97,32.62561259899998,429.6816888439858,879.1486850831295,1.2661277267451065,
24,6000.0,30.322,-95.2172,181.9,0.0359,1.97,28.58943829899999,354.5410221088404,722.0389759007834,1.9566499932598214,
24,7000.0,30.322,-95.2172,181.9,0.0359,1.97,31.556620698999996,321.401652042215,637.248222132826,2.804438668347817,
